id,user,userID,game,gameIndex,timestamp,isodate,achieved,total,percent,common,mangled,passphrase,random,predictable,overallTendency,overallRatings,overallScores,overallGuessesLog10,overallGuesses,commonTendency,commonRatings,commonScores,commonGuessesLog10,commonGuesses,mangledTendency,mangledRatings,mangledScores,mangledGuessesLog10,mangledGuesses,passphraseTendency,passphraseRatings,passphraseScores,passphraseGuessesLog10,passphraseGuesses,randomTendency,randomRatings,randomScores,randomGuessesLog10,randomGuesses,predictableTendency,predictableRatings,predictableScores,predictableGuessesLog10,predictableGuesses
"0","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZB7NInUeS326RpJH","1","1480967897254","2016-12-05","1925","3100","63","8","8","11","4","0","-1","1.967741935483871","2.967741935483871","6.547472393712685","1440744147.8387096","-0.25","1.625","1.875","3.9978581965223428","12994","0.25","2.375","2.125","4.646592531602582","307293.625","-2.6363636363636362","1.3636363636363635","4","8.528730761810923","423682388.90909094","-0.5","3.5","4","10.000000000043428","10000000001","NaN","NaN","NaN","NaN","NaN"
"1","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZPwLjPIMVa6CLMJe","2","1480967910342","2016-12-05","250","300","84","1","1","0","1","0","-0.6666666666666666","2","2.6666666666666665","6.272665963312046","3333350534.6666665","-1","1","2","4.361009712608142","22962","0","2","2","4.456988177284565","28641","NaN","NaN","NaN","NaN","NaN","-1","3","4","10.000000000043428","10000000001","NaN","NaN","NaN","NaN","NaN"
"2","04REnyajQ1UpNs6nnNXPhPxlYdK2","1","-KYFZiu_df88yWUvHxVO","3","1480968038380","2016-12-05","1150","1800","64","3","5","7","3","0","-1","2","3","6.8934543957125065","1384141390.6111112","1","2.6666666666666665","1.6666666666666667","3.409395770859826","9590.666666666666","-0.2","1.8","2","4.921803490979438","111718.6","-2.2857142857142856","1.5714285714285714","3.857142857142857","8.606424287476928","559135380.5714285","-1.3333333333333333","2.6666666666666665","4","9.666668114336654","7000003334","NaN","NaN","NaN","NaN","NaN"
"3","0J5jNu7OmnVvFidLF8ngEsW7wz13","2","-KYF2x3tmswwWv3nyEGo","1","1480959437730","2016-12-05","2775","3700","75","9","11","7","10","0","0.13513513513513514","3","2.864864864864865","6.662276509104073","2259412222.675676","0.2222222222222222","2.2222222222222223","2","4.149984083981333","15973.111111111111","0.45454545454545453","2.3636363636363638","1.9090909090909092","4.583508733877522","81806.09090909091","-0.14285714285714285","3.7142857142857144","3.857142857142857","8.584118509708825","669311229.7142857","-0.1","3.9","4","9.86469484404042","7891203000.6","NaN","NaN","NaN","NaN","NaN"
"4","0jHJy4BdBmd4oGdBOPeFsjOCDYo1","3","-Komffi9dR6Z-RT6yTJb","1","1499793895798","2017-07-11","1000","1300","77","3","1","2","7","0","-0.9230769230769231","2.3846153846153846","3.3076923076923075","7.832687813911312","5475810793","-0.6666666666666666","1","1.6666666666666667","3.38127863851865","3094.3333333333335","-1","1","2","4.003977241845537","10092","-2","2","4","8.848335038313106","812755464","-0.7142857142857143","3.2857142857142856","4","9.99720833525991","9937144286.571428","NaN","NaN","NaN","NaN","NaN"
"5","0m5wLBi34UXjHy8LMQeQsGPkqF52","4","-KYF5YwHQHNdlfkjcorJ","1","1480960129451","2016-12-05","1200","1600","75","4","5","3","4","0","-0.375","2.4375","2.8125","6.4724521214228625","2226649261.0625","-0.75","1.25","2","4.087190334411875","13482.75","0.8","2.8","2","4.517954646417019","99353","-1.6666666666666667","2","3.6666666666666665","8.313757158763602","281945826","-0.5","3.5","4","9.9198569741856","8695000000.75","NaN","NaN","NaN","NaN","NaN"
"6","0uKu07pstJZdQAQACYKEZKwl4kd2","5","-KYExfrtVM-RNforRAKQ","1","1480957802588","2016-12-05","2750","3500","79","12","9","7","7","0","-0.11428571428571428","2.6857142857142855","2.8","6.267627198298367","2094701757.4285715","0.08333333333333333","2.0833333333333335","2","4.011313163804651","12989.416666666666","0.7777777777777778","2.7777777777777777","2","4.538463922024456","53616.666666666664","-1.1428571428571428","2.857142857142857","4","8.62643123946613","473417582.85714287","-0.5714285714285714","3.4285714285714284","4","10.000000000043428","10000000001","NaN","NaN","NaN","NaN","NaN"
"7","0uKu07pstJZdQAQACYKEZKwl4kd2","5","-KYF1HgA5voqFYCO_Zio","2","1480959010475","2016-12-05","2125","2800","76","7","3","9","9","0","-0.8214285714285714","2.3214285714285716","3.142857142857143","7.404848033307294","3317611147.285714","0","2","2","4.117556810165834","14457.142857142857","0.6666666666666666","2.6666666666666665","2","4.780816496541603","94393","-1.4444444444444444","2.111111111111111","3.5555555555555554","8.24115530793642","321414192.8888889","-1.3333333333333333","2.6666666666666665","4","10.000000000043428","10000000001","NaN","NaN","NaN","NaN","NaN"
"8","0uKu07pstJZdQAQACYKEZKwl4kd2","5","-KYF1XkgMA8hMuF0165l","3","1480959075686","2016-12-05","3075","3700","84","8","8","12","9","0","-0.02702702702702703","3.027027027027027","3.054054054054054","7.059294057556277","2589283523.5945945","0.125","2.125","2","3.9843835611644947","12688.875","1.25","3.25","2","4.73398151716127","121693.375","-0.8333333333333334","2.9166666666666665","3.75","8.453913291882104","483534608.8333333","-0.2222222222222222","3.7777777777777777","4","10.000000000043428","10000000001","NaN","NaN","NaN","NaN","NaN"
"9","0uKu07pstJZdQAQACYKEZKwl4kd2","5","-KYF1mD_rWJRSznzISY5","4","1480959138809","2016-12-05","3150","3900","81","13","9","10","7","0","-0.3076923076923077","2.41025641025641","2.717948717948718","6.174734731355628","1828220840.6153846","-0.15384615384615385","1.7692307692307692","1.9230769230769231","3.7687213281714267","12044.461538461539","0.3333333333333333","2.2222222222222223","1.8888888888888888","4.3981263526149155","49447.333333333336","-0.7","2.9","3.6","8.23405129915557","340001117.4","-0.8571428571428571","3.142857142857143","4","9.985375298793002","9700000000.857143","NaN","NaN","NaN","NaN","NaN"
