"id","user","userID","game","gameIndex","timestamp","isodate","achieved","total","percent","common","mangled","passphrase","random","predictable","overallTendency","overallRatings","overallScores","overallGuessesLog10","overallGuesses","commonTendency","commonRatings","commonScores","commonGuessesLog10","commonGuesses","mangledTendency","mangledRatings","mangledScores","mangledGuessesLog10","mangledGuesses","passphraseTendency","passphraseRatings","passphraseScores","passphraseGuessesLog10","passphraseGuesses","randomTendency","randomRatings","randomScores","randomGuessesLog10","randomGuesses","predictableTendency","predictableRatings","predictableScores","predictableGuessesLog10","predictableGuesses"
"22","1pt0JjfSSUeZ9jsmIsa4VzWd0SS2","8","-L2XO8O6nsuzag3rWTg6","1","1515626730293","2018-01-10","1600","2100","77","3","3","1","6","8","-0.95238","1.90476","2.85714","7.0360283495248","16128718690638982.0000","-1","1","2","3.2259279170743924","1691.6666666666667","0","1.3333333333333333","1.3333333333333333","3.1612112510989174","4442","0","5","5","17.52880373348935","337912092346326400","-1","3","4","10.125883100709542","131833354549667.33","-1.375","1.25","2.625","6.288884437219196","3721962.625"
"23","1pt0JjfSSUeZ9jsmIsa4VzWd0SS2","8","-L2XO_4-QzLjzaPIL3i7","2","1515626843064","2018-01-10","2000","2500","80","9","6","3","4","3","-0.72000","2.04000","2.76000","6.4392555199604","8758270907703702.0000","-0.6666666666666666","1","1.6666666666666667","3.0464724009269144","1257","-1","1.3333333333333333","2.3333333333333335","4.87125616234405","516674669.3333333","-1","3.6666666666666665","4.666666666666667","14.370312545813604","72885553158688500","-1","3.25","4.25","10.61928036074042","75027527500000.75","0.3333333333333333","3.3333333333333335","3","6.249180112067002","2155918.6666666665"
"28","4BAf626ZhOOvlxBayh6FHSJqptk1","11","-L-9Xmv09WiFVYcq84t4","1","1512005381420","2017-11-30","1650","2000","83","6","5","2","5","2","-0.70000","1.75000","2.45000","5.5746777366461","50066010907066.4500","-0.3333333333333333","1","1.3333333333333333","2.8498741851624505","1010.3333333333334","-0.2","1.6","1.8","3.598334283462512","6613.6","-3","1.5","4.5","10.119436221536358","660083300197","-0.8","2.6","3.4","8.600000034743555","200000008000001","-0.5","2.5","3","6.581882793922069","5750900"
"29","4BAf626ZhOOvlxBayh6FHSJqptk1","11","-L-9YHvUEKkjP2Gl2JDU","2","1512005513303","2017-11-30","1625","2100","78","5","4","5","4","3","-0.04762","2.90476","2.95238","6.9244443978382","4012115416927964.0000","0.2","1.8","1.6","2.9295659712174675","1166.8","1.5","3.5","2","3.383605713141818","2954","-1","3.8","4.8","12.90012452749411","16850864545608176","-0.5","3.25","3.75","8.50000002182438","25255000001","-0.3333333333333333","2","2.3333333333333335","6.243485640393318","2476240.3333333335"
"55","ASEBwHukJfOYoBjQzEWveMxRcap1","27","-L-dfU2CrDvtBOC9G1AK","1","1512527753206","2017-12-06","1250","1800","70","3","4","4","3","4","-0.44444","2.50000","2.94444","6.9928576639454","6970150941276.7770","-0.3333333333333333","1.3333333333333333","1.6666666666666667","2.728380436158682","950.6666666666666","0.75","2.75","2","3.960710184294653","10975.75","-3","1.75","4.75","12.550431492164742","28865671456582","1.3333333333333333","5","3.6666666666666665","9.000000028952977","3333340000001","-0.5","2","2.5","6.160432462461243","2767474"
"56","ASEBwHukJfOYoBjQzEWveMxRcap1","27","-L-dg-FzuztmjOOrf_vE","2","1512527888710","2017-12-06","2175","3100","71","9","6","3","6","7","0.54839","3.00000","2.45161","5.2474259382246","32293881925.0000","0.2222222222222222","1.8888888888888888","1.6666666666666667","3.0261131058529736","1249.2222222222222","1.3333333333333333","3.1666666666666665","1.8333333333333333","3.4780770698901318","8034.833333333333","-1.3333333333333333","2.6666666666666665","4","8.458029957186632","348975100","1.5","4.833333333333333","3.3333333333333335","7.83333336952461","166675000001","0.2857142857142857","2.857142857142857","2.5714285714285716","6.027519089176671","1907845.2857142857"
"57","Aao0kFIMVsMSNbN0F5nQU2fJhko1","28","-L-dfZubfpE_06jnMMJ4","1","1512527776677","2017-12-06","2175","3200","68","5","7","9","6","5","-0.53125","2.62500","3.15625","7.3485925057773","1625946414179967.5000","-0.2","1.2","1.4","2.9635200066942304","1047.2","1.1428571428571428","3.142857142857143","2","3.7511534692085013","7355.428571428572","-2","2.5555555555555554","4.555555555555555","10.732665797388872","5658787249019999","-0.8333333333333334","3.8333333333333335","4.666666666666667","11.666666673906427","183533335000001","-0.2","2","2.2","5.497058729400974","504448.8"
"58","Aao0kFIMVsMSNbN0F5nQU2fJhko1","28","-L-dg5PAitRb2qEI0qHJ","2","1512527912546","2017-12-06","1900","2400","80","8","3","6","3","4","0.50000","3.20833","2.70833","6.7416881765860","6396256739084093.0000","0","1.625","1.625","2.904568946073077","948.75","3","4.666666666666667","1.6666666666666667","3.4679748403625736","6951.333333333333","-0.16666666666666666","4.5","4.666666666666667","13.30949131921873","25568360286128704","0.6666666666666666","4.333333333333333","3.6666666666666665","9.333333362286297","33333340000001","0.5","2.5","2","5.075773036554952","304382.25"
"59","Agp1oaksMkMQH2S1pmNQVigUYM83","29","-L0Z2GpThtMbbMcBwqyi","1","1513507264528","2017-12-17","1050","1300","81","4","1","3","2","3","-0.30769","2.23077","2.53846","5.7817078869856","407594193.6154","-0.5","1","1.5","2.913483082734073","1037.5","1","3","2","3.8051609015994337","6385","-1.6666666666666667","2.3333333333333335","4","9.118663959273425","1756811514.6666667","1","4","3","7.000000043429445","10000001","0","2.3333333333333335","2.3333333333333335","6.115705777865934","2759812"
"60","Agp1oaksMkMQH2S1pmNQVigUYM83","29","-L0Z2rLBwvAlE09WSt1s","2","1513507419249","2017-12-17","1000","1400","72","2","3","3","1","5","-0.85714","1.92857","2.78571","6.0612009559238","506721293579.0714","-0.5","1","1.5","3.0915936243409403","1333.5","0.3333333333333333","2.3333333333333335","2","3.7189803560459516","5962.333333333333","-1.6666666666666667","2.6666666666666665","4.333333333333333","9.97443187346262","2364692558056","1","4","3","7.000000043429445","10000001","-1.6","1.2","2.8","6.11867788045921","2083076.8"
"61","AoIM7wq3cBQLpOjRkKx0RjmLw9r2","30","-L-dfhB00OSLsorXF4Lx","1","1512527810357","2017-12-06","1100","1700","65","4","1","4","4","4","-1.17647","2.00000","3.17647","7.9906186340099","9767604766945810.0000","0","1.5","1.5","2.986847795153734","1007.25","0","2","2","3.015359755409214","1036","-3.25","1.75","5","14.11575790507487","41262317505112820","-1","3","4","10.250000010976791","250002752500001","-0.75","1.75","2.5","5.853683544484517","1905614"
"62","AoIM7wq3cBQLpOjRkKx0RjmLw9r2","30","-L-dg-QEod1l6w_min30","2","1512527890149","2017-12-06","2200","3000","74","3","10","6","6","5","-0.80000","2.16667","2.96667","6.8690704379691","2034543209953638.2000","-0.3333333333333333","1","1.3333333333333333","2.8769745797364163","901.3333333333334","-0.3","1.6","1.9","3.6281608643180894","13018.7","-1.8333333333333333","2.5","4.333333333333333","11.73050793147535","10172675861357280","-0.3333333333333333","4","4.333333333333333","9.746427756584948","40185000000.833336","-1.4","1.4","2.8","6.459593325664093","4066510.4"
"63","AoIM7wq3cBQLpOjRkKx0RjmLw9r2","30","-L-dgMvcl18FU8Mat_sz","3","1512527986009","2017-12-06","2350","3000","79","4","5","5","5","11","-0.46667","2.33333","2.80000","6.9776982053708","9383098543003006.0000","0","1","1","2.680518275296662","539.5","0.8","2.6","1.8","3.4234039882589578","12409.2","-1","4","5","14.212108190106463","56296591048345120","-0.2","3.4","3.6","8.600000026144533","2000206000001","-1.0909090909090908","1.4545454545454546","2.5454545454545454","6.130119276126263","1663673.4545454546"
"196","VMYzCpJR8dVHOxUAIIe1FnRV6IJ3","125","-L-9Xbpr0f7Lp0le-ssy","1","1512005335970","2017-11-30","1775","2400","74","1","7","6","7","3","-0.70833","2.62500","3.33333","8.3987574976115","1636882568149651.8000","0","1","1","2.8401060944567575","692","0.42857142857142855","2.4285714285714284","2","4.153448046267044","5605610.51975684","-2","2.5","4.5","12.201493281552333","6479178562692911","-0.42857142857142855","3.857142857142857","4.285714285714286","11.06816020675781","58587172857143.71","-1.6666666666666667","1","2.6666666666666665","6.3232854625771004","3398069.3333333335"
"197","VMYzCpJR8dVHOxUAIIe1FnRV6IJ3","125","-L-9Y3nqVkfzTbbF8mmF","2","1512005453518","2017-11-30","1925","2500","77","3","7","5","4","6","-0.44000","2.32000","2.76000","6.2325108526636","5125928501051.2800","-0.6666666666666666","1","1.6666666666666667","2.9848844727144908","1023","0.2857142857142857","2","1.7142857142857142","3.532867365318754","8649.57142857143","-2.4","2","4.4","10.413778810550237","25607636229624.4","0.5","4.25","3.75","8.750000021726665","27505000001","-0.16666666666666666","2.3333333333333335","2.5","5.843192033592726","1885756.6666666667"
